VIGENCIA,Sector,Grupo_Etario,Discapacidad,Inversion_por_deportista
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adultez 27-59,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Adolescencia 12-18,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
2022,OLIMPICO,Infancia 6-11,NO APLICA,3310519.1
